index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
2898,1117066885,0,0,0,0,A,No,No
2900,1117067293,0,0,0,0,A,No,No
2911,1117110597,0,0,0,0,A,No,No
2924,1117103029,0,0,0,0,A,No,No
2935,1117146581,0,0,0,0,A,No,No
2943,1117127661,0,0,0,0,A,No,No
2946,1117117877,0,0,0,0,A,No,No
2948,1117149085,0,0,0,0,A,No,No
2953,1117119101,0,0,0,0,A,No,No
2957,1117120373,0,0,0,0,A,No,No
2958,1117130597,0,0,0,0,A,No,No
2959,1117141117,0,0,0,0,A,No,No
2972,1117124181,0,0,0,0,A,No,No
2976,1117155893,0,0,0,0,A,No,No
2981,1117187021,0,0,0,0,A,No,No
3003,1117207261,0,0,0,0,A,No,No
3013,1117222477,0,0,0,0,A,No,No
3034,1117045421,0,0,0,0,A,No,No
3044,1117085573,0,0,0,0,A,No,No
3058,1117077293,0,0,0,0,A,No,No
3060,1117058557,0,0,0,0,A,No,No
3063,1117088421,0,0,0,0,A,No,No
3064,1117088965,0,0,0,0,A,No,No
3077,1117090509,0,0,0,1,A,No,No
3084,1117090981,0,0,0,0,A,No,No
3089,1117113269,0,0,0,0,A,No,No
3090,1117113541,0,0,0,0,A,No,No
3095,1117093565,0,0,0,1,A,No,No
3107,1117150157,0,0,0,0,A,No,No
3133,1117124189,0,0,0,0,A,No,No
3134,1117155357,0,0,0,0,A,No,No
3145,1117170221,0,0,0,0,A,No,No
3153,1117215957,0,0,0,0,A,No,No
3159,1117229389,0,0,0,0,A,No,No
3160,1117229397,0,0,0,0,A,No,No
3172,1117234325,0,0,0,0,A,No,No
3190,1117268661,0,0,0,0,A,No,No
3192,1097684572,0,0,0,0,A,No,No
3202,1097643196,0,0,0,0,A,No,No
3215,1097640452,0,0,0,0,A,No,No
3224,1097712596,0,0,0,0,A,No,No
3235,1097726652,0,0,0,0,A,No,No
3236,1117274717,0,0,0,0,A,No,No
3246,1117329669,0,0,0,0,A,No,No
3261,1117386861,0,0,0,0,A,No,No
